throughput,thermal_load,power_usage,storage_health,cooling_efficiency,material_availability,deadline_pressure,maintenance_health,machine_health,inventory_level,defect_rate,line_utilization,energy_cost,severity
66,72,68,91,88,55,40,87,90,43,5,70,50,NORMAL
100,72,90,91,88,93,86,87,90,39,5,70,60,WARNING
84,84,91,91,88,93,40,87,84,75,10,70,65,CRITICAL
84,72,50,91,88,93,20,87,90,75,5,44,50,NORMAL
94,72,76,91,88,93,70,87,90,64,5,70,50,NORMAL
96,72,90,91,88,93,82,87,90,42,5,70,60,WARNING
87,72,81,91,88,93,81,87,90,29,5,70,60,WARNING
84,82,82,91,88,93,40,87,83,75,10,70,62,CRITICAL
84,72,41,91,88,93,3,87,90,75,5,45,50,NORMAL
90,72,78,91,88,93,61,87,90,58,5,70,50,NORMAL
84,55,68,91,98,93,40,87,90,75,1,70,50,NORMAL
72,72,68,91,88,65,40,87,90,47,5,70,50,NORMAL
84,72,64,91,88,93,30,87,90,75,5,64,50,NORMAL
84,79,77,91,88,93,40,87,85,75,5,70,59,WARNING
100,72,89,91,88,93,75,87,90,56,5,70,50,WARNING
84,59,68,91,92,93,40,87,90,75,2,70,50,NORMAL
84,69,68,91,91,93,40,87,90,75,4,70,50,NORMAL
84,72,64,91,88,93,30,87,90,75,5,63,50,NORMAL
84,65,68,91,91,93,40,87,90,75,5,70,50,NORMAL
84,72,61,91,88,93,26,87,90,75,5,58,50,NORMAL
84,72,54,91,88,93,9,87,90,75,5,50,50,NORMAL
84,72,60,91,88,93,15,87,90,75,5,55,50,NORMAL
84,63,68,91,92,93,40,87,90,75,2,70,50,NORMAL
84,83,100,91,88,93,40,87,82,75,10,70,66,CRITICAL
84,72,49,91,88,93,4,87,90,75,5,52,50,NORMAL
84,72,60,91,88,93,24,87,90,75,5,59,50,NORMAL
84,62,68,91,98,93,40,87,90,75,2,70,50,NORMAL
84,72,57,91,88,93,27,87,90,75,5,58,50,NORMAL
84,72,66,91,88,93,33,87,90,75,5,64,50,NORMAL
74,72,68,91,88,73,40,87,90,57,5,70,50,NORMAL
84,67,68,91,92,93,40,87,90,75,5,70,50,NORMAL
82,75,68,91,85,93,40,87,90,75,8,70,50,NORMAL
60,72,68,91,88,69,40,87,90,51,5,70,50,NORMAL
84,86,91,91,88,93,40,87,80,75,10,70,71,CRITICAL
82,75,68,91,85,93,40,87,90,75,7,70,50,NORMAL
90,72,73,91,88,93,58,87,90,65,5,70,50,NORMAL
100,72,83,91,88,93,85,87,90,56,5,70,60,WARNING
76,85,68,91,79,93,40,87,90,75,17,70,50,WARNING
76,72,68,91,88,76,40,87,90,66,5,70,50,NORMAL
84,87,98,91,88,93,40,87,73,75,10,70,75,CRITICAL
84,84,98,91,88,93,40,87,75,75,10,70,77,CRITICAL
66,83,68,91,74,93,40,87,90,75,22,70,50,WARNING
84,72,61,91,88,93,32,87,90,75,5,65,50,NORMAL
84,72,66,91,88,93,34,87,90,75,5,68,50,NORMAL
81,72,68,91,88,88,40,87,90,71,5,70,50,NORMAL
84,58,68,91,100,93,40,87,90,75,0,70,50,NORMAL
100,72,81,91,88,93,71,87,90,53,5,70,50,WARNING
84,44,68,91,99,93,40,87,90,75,0,70,50,NORMAL
84,72,43,91,88,93,14,87,90,75,5,42,50,NORMAL
84,82,90,91,88,93,40,87,83,75,10,70,68,CRITICAL
84,82,96,91,88,93,40,87,72,75,10,70,65,CRITICAL
75,87,68,91,76,93,40,87,90,75,18,70,50,WARNING
84,72,50,91,88,93,16,87,90,75,5,50,50,NORMAL
93,72,75,91,88,93,54,87,90,62,5,70,50,NORMAL
84,72,52,91,88,93,19,87,90,75,5,56,50,NORMAL
60,72,68,91,88,56,40,87,90,49,5,70,50,NORMAL
83,74,68,91,87,93,40,87,90,75,5,70,50,NORMAL
84,54,68,91,99,93,40,87,90,75,2,70,50,NORMAL
84,80,87,91,88,93,40,87,74,75,5,70,66,WARNING
84,72,60,91,88,93,14,87,90,75,5,51,50,NORMAL
84,69,68,91,89,93,40,87,90,75,4,70,50,NORMAL
84,51,68,91,100,93,40,87,90,75,0,70,50,NORMAL
84,68,68,91,89,93,40,87,90,75,5,70,50,NORMAL
66,72,68,91,88,38,40,87,90,43,5,70,50,NORMAL
84,84,97,91,88,93,40,87,83,75,10,70,71,CRITICAL
84,57,68,91,98,93,40,87,90,75,4,70,50,NORMAL
76,81,68,91,81,93,40,87,90,75,15,70,50,WARNING
81,72,68,91,88,84,40,87,90,71,5,70,50,NORMAL
79,72,68,91,88,79,40,87,90,68,5,70,50,NORMAL
88,72,70,91,88,93,47,87,90,67,5,70,50,NORMAL
74,72,68,91,88,76,40,87,90,57,5,70,50,NORMAL
84,67,68,91,94,93,40,87,90,75,5,70,50,NORMAL
78,80,68,91,80,93,40,87,90,75,14,70,50,NORMAL
84,72,63,91,88,93,30,87,90,75,5,62,50,NORMAL
84,76,80,91,88,93,40,87,85,75,5,70,62,WARNING
84,72,41,91,88,93,13,87,90,75,5,38,50,NORMAL
84,50,68,91,100,93,40,87,90,75,0,70,50,NORMAL
97,72,85,91,88,93,61,87,90,58,5,70,50,WARNING
84,84,92,91,88,93,40,87,75,75,10,70,66,CRITICAL
84,72,62,91,88,93,24,87,90,75,5,59,50,NORMAL
84,72,60,91,88,93,31,87,90,75,5,63,50,NORMAL
84,59,68,91,100,93,40,87,90,75,3,70,50,NORMAL
61,93,68,91,64,93,40,87,90,75,23,70,50,WARNING
84,72,65,91,88,93,34,87,90,75,5,67,50,NORMAL
84,72,62,91,88,93,28,87,90,75,5,62,50,NORMAL
84,46,68,91,100,93,40,87,90,75,3,70,50,NORMAL
50,72,68,91,88,31,40,87,90,31,5,70,50,WARNING
84,72,55,91,88,93,15,87,90,75,5,40,50,NORMAL
43,72,68,91,88,49,40,87,90,18,5,70,50,WARNING
63,93,68,91,76,93,40,87,90,75,30,70,50,WARNING
84,82,98,91,88,93,40,87,72,75,10,70,67,CRITICAL
96,72,73,91,88,93,61,87,90,65,5,70,50,NORMAL
91,72,92,91,88,93,84,87,90,17,5,70,60,WARNING
87,72,71,91,88,93,46,87,90,71,5,70,50,NORMAL
84,80,93,91,88,93,40,87,82,75,5,70,71,WARNING
59,72,68,91,88,56,40,87,90,50,5,70,50,NORMAL
65,72,68,91,88,52,40,87,90,36,5,70,50,NORMAL
84,50,68,91,98,93,40,87,90,75,1,70,50,NORMAL
80,72,68,91,88,84,40,87,90,61,5,70,50,NORMAL
80,85,68,91,74,93,40,87,90,75,18,70,50,WARNING
62,72,68,91,88,58,40,87,90,42,5,70,50,NORMAL
84,61,68,91,95,93,40,87,90,75,5,70,50,NORMAL
84,72,46,91,88,93,12,87,90,75,5,49,50,NORMAL
77,72,68,91,88,73,40,87,90,59,5,70,50,NORMAL
84,52,68,91,100,93,40,87,90,75,3,70,50,NORMAL
100,72,90,91,88,93,77,87,90,48,5,70,50,WARNING
89,72,72,91,88,93,46,87,90,72,5,70,50,NORMAL
100,72,77,91,88,93,59,87,90,50,5,70,50,NORMAL
84,58,68,91,98,93,40,87,90,75,2,70,50,NORMAL
99,72,84,91,88,93,77,87,90,33,5,70,50,WARNING
84,72,59,91,88,93,1,87,90,75,5,49,50,NORMAL
67,88,68,91,73,93,40,87,90,75,31,70,50,WARNING
92,72,74,91,88,93,52,87,90,68,5,70,50,NORMAL
78,72,68,91,88,86,40,87,90,65,5,70,50,NORMAL
84,77,79,91,88,93,40,87,82,75,5,70,56,WARNING
77,89,68,91,80,93,40,87,90,75,15,70,50,WARNING
79,81,68,91,80,93,40,87,90,75,16,70,50,WARNING
81,81,68,91,83,93,40,87,90,75,12,70,50,WARNING
84,39,68,91,100,93,40,87,90,75,0,70,50,NORMAL
84,58,68,91,98,93,40,87,90,75,0,70,50,NORMAL
100,72,88,91,88,93,72,87,90,51,5,70,50,WARNING
81,81,68,91,82,93,40,87,90,75,18,70,50,WARNING
84,72,62,91,88,93,27,87,90,75,5,58,50,NORMAL
93,72,75,91,88,93,59,87,90,68,5,70,50,NORMAL
79,72,68,91,88,78,40,87,90,68,5,70,50,NORMAL
84,86,100,91,88,93,40,87,76,75,10,70,81,CRITICAL
59,72,68,91,88,49,40,87,90,46,5,70,50,NORMAL
84,57,68,91,99,93,40,87,90,75,1,70,50,NORMAL
88,72,72,91,88,93,45,87,90,66,5,70,50,NORMAL
100,72,88,91,88,93,90,87,90,51,5,70,60,WARNING
84,50,68,91,100,93,40,87,90,75,1,70,50,NORMAL
82,72,68,91,88,88,40,87,90,71,5,70,50,NORMAL
84,88,99,91,88,93,40,87,77,75,10,70,78,CRITICAL
65,72,68,91,88,33,40,87,90,36,5,70,50,NORMAL
84,49,68,91,100,93,40,87,90,75,0,70,50,NORMAL
62,93,68,91,71,93,40,87,90,75,25,70,50,WARNING
84,68,68,91,89,93,40,87,90,75,5,70,50,NORMAL
88,72,95,91,88,93,71,87,90,19,5,70,50,WARNING
84,90,100,91,88,93,40,87,70,75,10,70,67,CRITICAL
78,72,68,91,88,85,40,87,90,65,5,70,50,NORMAL
60,72,68,91,88,60,40,87,90,39,5,70,50,NORMAL
84,72,50,91,88,93,6,87,90,75,5,44,50,NORMAL
84,72,52,91,88,93,15,87,90,75,5,54,50,NORMAL
95,72,83,91,88,93,62,87,90,53,5,70,50,WARNING
97,72,84,91,88,93,66,87,90,63,5,70,50,WARNING
72,86,68,91,75,93,40,87,90,75,19,70,50,WARNING
100,72,81,91,88,93,75,87,90,55,5,70,50,WARNING
84,71,68,91,89,93,40,87,90,75,5,70,50,NORMAL
100,72,86,91,88,93,79,87,90,51,5,70,50,WARNING
84,68,68,91,89,93,40,87,90,75,5,70,50,NORMAL
84,72,59,91,88,93,19,87,90,75,5,58,50,NORMAL
84,58,68,91,91,93,40,87,90,75,3,70,50,NORMAL
58,72,68,91,88,60,40,87,90,40,5,70,50,NORMAL
84,85,100,91,88,93,40,87,66,75,10,70,66,CRITICAL
84,74,73,91,88,93,40,87,87,75,5,70,53,NORMAL
66,93,68,91,67,93,40,87,90,75,29,70,50,WARNING
84,45,68,91,100,93,40,87,90,75,4,70,50,NORMAL
100,72,78,91,88,93,90,87,90,54,5,70,60,NORMAL
52,72,68,91,88,42,40,87,90,50,5,70,50,NORMAL
64,91,68,91,75,93,40,87,90,75,21,70,50,WARNING
84,72,62,91,88,93,26,87,90,75,5,51,50,NORMAL
68,72,68,91,88,67,40,87,90,50,5,70,50,NORMAL
84,81,86,91,88,93,40,87,83,75,10,70,65,CRITICAL
84,83,84,91,88,93,40,87,85,75,10,70,61,CRITICAL
84,84,99,91,88,93,40,87,83,75,10,70,76,CRITICAL
84,72,60,91,88,93,16,87,90,75,5,47,50,NORMAL
100,72,83,91,88,93,87,87,90,38,5,70,60,WARNING
84,64,68,91,98,93,40,87,90,75,3,70,50,NORMAL
61,86,68,91,75,93,40,87,90,75,28,70,50,WARNING
84,60,68,91,96,93,40,87,90,75,4,70,50,NORMAL
72,72,68,91,88,79,40,87,90,58,5,70,50,NORMAL
84,72,67,91,88,93,38,87,90,75,5,69,50,NORMAL
84,52,68,91,95,93,40,87,90,75,2,70,50,NORMAL
63,94,68,91,70,93,40,87,90,75,28,70,50,WARNING
94,72,85,91,88,93,72,87,90,41,5,70,50,WARNING
84,54,68,91,100,93,40,87,90,75,3,70,50,NORMAL
72,88,68,91,80,93,40,87,90,75,19,70,50,WARNING
84,72,61,91,88,93,21,87,90,75,5,59,50,NORMAL
81,83,68,91,81,93,40,87,90,75,17,70,50,WARNING
100,72,78,91,88,93,61,87,90,54,5,70,50,NORMAL
58,100,68,91,68,93,40,87,90,75,22,70,50,WARNING
84,42,68,91,100,93,40,87,90,75,4,70,50,NORMAL
84,72,62,91,88,93,28,87,90,75,5,56,50,NORMAL
84,81,88,91,88,93,40,87,85,75,10,70,67,CRITICAL
84,72,49,91,88,93,2,87,90,75,5,51,50,NORMAL
84,74,73,91,88,93,40,87,88,75,5,70,56,NORMAL
74,72,68,91,88,73,40,87,90,63,5,70,50,NORMAL
65,90,68,91,69,93,40,87,90,75,33,70,50,WARNING
84,75,73,91,88,93,40,87,89,75,5,70,55,NORMAL
84,72,64,91,88,93,33,87,90,75,5,65,50,NORMAL
84,72,67,91,88,93,38,87,90,75,5,69,50,NORMAL
97,72,80,91,88,93,60,87,90,49,5,70,50,NORMAL
76,72,68,91,88,83,40,87,90,64,5,70,50,NORMAL
84,90,100,91,88,93,40,87,76,75,10,70,72,CRITICAL
84,77,75,91,88,93,40,87,88,75,5,70,57,NORMAL
60,89,68,91,74,93,40,87,90,75,22,70,50,WARNING
76,86,68,91,76,93,40,87,90,75,17,70,50,WARNING
95,72,79,91,88,93,58,87,90,60,5,70,50,NORMAL
84,73,71,91,88,93,40,87,90,75,5,70,52,NORMAL
84,75,74,91,88,93,40,87,85,75,5,70,53,NORMAL
82,75,68,91,86,93,40,87,90,75,9,70,50,NORMAL
84,48,68,91,99,93,40,87,90,75,0,70,50,NORMAL
84,61,68,91,97,93,40,87,90,75,2,70,50,NORMAL
84,62,68,91,97,93,40,87,90,75,5,70,50,NORMAL
84,74,76,91,88,93,40,87,86,75,5,70,55,NORMAL
84,72,64,91,88,93,17,87,90,75,5,53,50,NORMAL
84,74,74,91,88,93,40,87,86,75,5,70,54,NORMAL
87,72,72,91,88,93,48,87,90,68,5,70,50,NORMAL
53,100,68,91,60,93,40,87,90,75,33,70,50,WARNING
84,72,60,91,88,93,15,87,90,75,5,48,50,NORMAL
71,72,68,91,88,58,40,87,90,57,5,70,50,NORMAL
81,72,68,91,88,85,40,87,90,70,5,70,50,NORMAL
96,72,79,91,88,93,59,87,90,51,5,70,50,NORMAL
84,83,87,91,88,93,40,87,81,75,10,70,59,CRITICAL
84,81,95,91,88,93,40,87,77,75,10,70,63,CRITICAL
84,83,89,91,88,93,40,87,82,75,10,70,64,CRITICAL
84,82,88,91,88,93,40,87,80,75,10,70,64,CRITICAL
87,72,72,91,88,93,52,87,90,67,5,70,50,NORMAL
74,81,68,91,78,93,40,87,90,75,14,70,50,WARNING
69,72,68,91,88,56,40,87,90,58,5,70,50,NORMAL
84,62,68,91,100,93,40,87,90,75,3,70,50,NORMAL
84,80,94,91,88,93,40,87,79,75,5,70,67,WARNING
84,39,68,91,100,93,40,87,90,75,0,70,50,NORMAL
84,75,75,91,88,93,40,87,86,75,5,70,54,NORMAL
65,83,68,91,81,93,40,87,90,75,21,70,50,WARNING
85,72,69,91,88,93,42,87,90,74,5,70,50,NORMAL
61,72,68,91,88,33,40,87,90,40,5,70,50,NORMAL
67,92,68,91,67,93,40,87,90,75,30,70,50,WARNING
76,72,68,91,88,83,40,87,90,63,5,70,50,NORMAL
60,87,68,91,70,93,40,87,90,75,24,70,50,WARNING
84,46,68,91,100,93,40,87,90,75,0,70,50,NORMAL
84,72,39,91,88,93,9,87,90,75,5,31,50,NORMAL
84,86,100,91,88,93,40,87,67,75,10,70,75,CRITICAL
64,72,68,91,88,56,40,87,90,43,5,70,50,NORMAL
93,72,77,91,88,93,60,87,90,51,5,70,50,NORMAL
84,72,65,91,88,93,32,87,90,75,5,63,50,NORMAL
84,72,66,91,88,93,36,87,90,75,5,68,50,NORMAL
92,72,76,91,88,93,57,87,90,62,5,70,50,NORMAL
100,72,82,91,88,93,62,87,90,47,5,70,50,WARNING
84,78,84,91,88,93,40,87,80,75,5,70,59,WARNING
84,72,48,91,88,93,10,87,90,75,5,54,50,NORMAL
84,72,66,91,88,93,38,87,90,75,5,68,50,NORMAL
100,72,82,91,88,93,72,87,90,59,5,70,50,WARNING
84,83,91,91,88,93,40,87,69,75,10,70,65,CRITICAL
84,72,48,91,88,93,0,87,90,75,5,41,50,NORMAL
71,91,68,91,76,93,40,87,90,75,17,70,50,WARNING
94,72,78,91,88,93,62,87,90,65,5,70,50,NORMAL
84,72,61,91,88,93,20,87,90,75,5,56,50,NORMAL
84,54,68,91,100,93,40,87,90,75,3,70,50,NORMAL
84,84,100,91,88,93,40,87,72,75,10,70,72,CRITICAL
84,72,61,91,88,93,17,87,90,75,5,44,50,NORMAL
84,54,68,91,100,93,40,87,90,75,2,70,50,NORMAL
95,72,74,91,88,93,55,87,90,56,5,70,50,NORMAL
70,82,68,91,79,93,40,87,90,75,21,70,50,WARNING
69,72,68,91,88,57,40,87,90,33,5,70,50,NORMAL
84,72,57,91,88,93,17,87,90,75,5,53,50,NORMAL
84,56,68,91,98,93,40,87,90,75,5,70,50,NORMAL
42,72,68,91,88,32,40,87,90,23,5,70,50,WARNING
83,75,68,91,86,93,40,87,90,75,7,70,50,NORMAL
84,72,44,91,88,93,0,87,90,75,5,48,50,NORMAL
60,72,68,91,88,53,40,87,90,34,5,70,50,NORMAL
84,39,68,91,100,93,40,87,90,75,0,70,50,NORMAL
84,83,100,91,88,93,40,87,72,75,10,70,79,CRITICAL
84,51,68,91,100,93,40,87,90,75,0,70,50,NORMAL
69,72,68,91,88,69,40,87,90,56,5,70,50,NORMAL
85,72,70,91,88,93,44,87,90,72,5,70,50,NORMAL
67,84,68,91,74,93,40,87,90,75,21,70,50,WARNING
84,86,100,91,88,93,40,87,65,75,10,70,75,CRITICAL
81,72,68,91,88,84,40,87,90,70,5,70,50,NORMAL
90,72,72,91,88,93,56,87,90,62,5,70,50,NORMAL
100,72,85,91,88,93,76,87,90,39,5,70,50,WARNING
84,66,68,91,93,93,40,87,90,75,5,70,50,NORMAL
67,72,68,91,88,75,40,87,90,61,5,70,50,NORMAL
84,72,58,91,88,93,20,87,90,75,5,53,50,NORMAL
84,72,60,91,88,93,17,87,90,75,5,49,50,NORMAL
92,72,72,91,88,93,50,87,90,63,5,70,50,NORMAL
72,72,68,91,88,58,40,87,90,47,5,70,50,NORMAL
60,93,68,91,76,93,40,87,90,75,24,70,50,WARNING
69,72,68,91,88,71,40,87,90,60,5,70,50,NORMAL
80,77,68,91,85,93,40,87,90,75,10,70,50,NORMAL
84,72,59,91,88,93,15,87,90,75,5,46,50,NORMAL
84,72,39,91,88,93,0,87,90,75,5,31,50,NORMAL
87,72,71,91,88,93,46,87,90,67,5,70,50,NORMAL
84,84,90,91,88,93,40,87,76,75,10,70,67,CRITICAL
84,72,52,91,88,93,0,87,90,75,5,48,50,NORMAL
41,72,68,91,88,34,40,87,90,24,5,70,50,WARNING
83,74,68,91,87,93,40,87,90,75,7,70,50,NORMAL
76,72,68,91,88,66,40,87,90,58,5,70,50,NORMAL
84,72,60,91,88,93,24,87,90,75,5,54,50,NORMAL
84,91,100,91,88,93,40,87,68,75,10,70,76,CRITICAL
84,68,68,91,92,93,40,87,90,75,5,70,50,NORMAL
84,41,68,91,100,93,40,87,90,75,0,70,50,NORMAL
84,74,73,91,88,93,40,87,88,75,5,70,54,NORMAL
84,76,78,91,88,93,40,87,86,75,5,70,56,NORMAL
64,72,68,91,88,57,40,87,90,41,5,70,50,NORMAL
76,83,68,91,81,93,40,87,90,75,14,70,50,WARNING
63,72,68,91,88,62,40,87,90,46,5,70,50,NORMAL
100,72,94,91,88,93,86,87,90,33,5,70,60,WARNING
84,72,52,91,88,93,0,87,90,75,5,51,50,NORMAL
84,73,70,91,88,93,40,87,89,75,5,70,51,NORMAL
84,72,50,91,88,93,15,87,90,75,5,44,50,NORMAL
67,72,68,91,88,48,40,87,90,39,5,70,50,NORMAL
84,72,53,91,88,93,17,87,90,75,5,48,50,NORMAL
92,72,79,91,88,93,55,87,90,62,5,70,50,NORMAL
84,59,68,91,99,93,40,87,90,75,2,70,50,NORMAL
84,89,96,91,88,93,40,87,70,75,10,70,76,CRITICAL
65,72,68,91,88,36,40,87,90,39,5,70,50,NORMAL
100,72,78,91,88,93,76,87,90,36,5,70,50,NORMAL
84,61,68,91,91,93,40,87,90,75,2,70,50,NORMAL
84,65,68,91,93,93,40,87,90,75,4,70,50,NORMAL
84,55,68,91,100,93,40,87,90,75,0,70,50,NORMAL
84,51,68,91,100,93,40,87,90,75,4,70,50,NORMAL
84,76,75,91,88,93,40,87,88,75,5,70,59,NORMAL
84,37,68,91,100,93,40,87,90,75,0,70,50,NORMAL
84,72,48,91,88,93,7,87,90,75,5,47,50,NORMAL
84,72,50,91,88,93,0,87,90,75,5,28,50,NORMAL
84,72,58,91,88,93,26,87,90,75,5,59,50,NORMAL
100,72,95,91,88,93,71,87,90,50,5,70,50,WARNING
62,87,68,91,73,93,40,87,90,75,28,70,50,WARNING
98,72,81,91,88,93,66,87,90,58,5,70,50,WARNING
79,78,68,91,82,93,40,87,90,75,10,70,50,NORMAL
84,72,49,91,88,93,0,87,90,75,5,51,50,NORMAL
84,77,79,91,88,93,40,87,84,75,5,70,55,WARNING
95,72,75,91,88,93,66,87,90,65,5,70,50,NORMAL
84,79,96,91,88,93,40,87,80,75,5,70,67,WARNING
54,72,68,91,88,46,40,87,90,50,5,70,50,NORMAL
84,51,68,91,99,93,40,87,90,75,4,70,50,NORMAL
72,72,68,91,88,77,40,87,90,54,5,70,50,NORMAL
84,72,58,91,88,93,23,87,90,75,5,56,50,NORMAL
62,100,68,91,68,93,40,87,90,75,32,70,50,WARNING
100,72,86,91,88,93,85,87,90,48,5,70,60,WARNING
100,72,94,91,88,93,90,87,90,34,5,70,60,WARNING
84,83,100,91,88,93,40,87,71,75,10,70,80,CRITICAL
77,81,68,91,79,93,40,87,90,75,16,70,50,WARNING
84,80,83,91,88,93,40,87,81,75,5,70,62,WARNING
84,82,83,91,88,93,40,87,76,75,10,70,68,CRITICAL
89,72,75,91,88,93,50,87,90,61,5,70,50,NORMAL
82,72,68,91,88,89,40,87,90,71,5,70,50,NORMAL
84,72,55,91,88,93,27,87,90,75,5,52,50,NORMAL
62,96,68,91,74,93,40,87,90,75,32,70,50,WARNING
84,83,91,91,88,93,40,87,76,75,10,70,72,CRITICAL
68,87,68,91,76,93,40,87,90,75,22,70,50,WARNING
84,80,86,91,88,93,40,87,79,75,5,70,64,WARNING
84,80,88,91,88,93,40,87,83,75,5,70,60,WARNING
84,72,57,91,88,93,1,87,90,75,5,53,50,NORMAL
82,72,68,91,88,88,40,87,90,73,5,70,50,NORMAL
94,72,75,91,88,93,54,87,90,56,5,70,50,NORMAL
84,72,62,91,88,93,15,87,90,75,5,52,50,NORMAL
67,72,68,91,88,54,40,87,90,53,5,70,50,NORMAL
84,80,89,91,88,93,40,87,84,75,5,70,66,WARNING
84,72,57,91,88,93,5,87,90,75,5,42,50,NORMAL
84,85,91,91,88,93,40,87,74,75,10,70,70,CRITICAL
100,72,81,91,88,93,88,87,90,41,5,70,60,WARNING
65,72,68,91,88,66,40,87,90,57,5,70,50,NORMAL
84,77,83,91,88,93,40,87,85,75,5,70,60,WARNING
54,97,68,91,73,93,40,87,90,75,33,70,50,WARNING
57,72,68,91,88,62,40,87,90,45,5,70,50,NORMAL
100,72,87,91,88,93,97,87,90,31,5,70,60,WARNING
84,82,94,91,88,93,40,87,82,75,10,70,67,CRITICAL
51,93,68,91,63,93,40,87,90,75,39,70,50,WARNING
84,88,90,91,88,93,40,87,77,75,10,70,66,CRITICAL
91,72,82,91,88,93,74,87,90,29,5,70,50,WARNING
84,42,68,91,100,93,40,87,90,75,0,70,50,NORMAL
81,75,68,91,85,93,40,87,90,75,8,70,50,NORMAL
60,89,68,91,72,93,40,87,90,75,30,70,50,WARNING
67,86,68,91,75,93,40,87,90,75,31,70,50,WARNING
79,90,68,91,80,93,40,87,90,75,18,70,50,WARNING
84,72,46,91,88,93,0,87,90,75,5,50,50,NORMAL
87,72,70,91,88,93,47,87,90,72,5,70,50,NORMAL
84,45,68,91,100,93,40,87,90,75,0,70,50,NORMAL
100,72,80,91,88,93,71,87,90,44,5,70,50,NORMAL
68,72,68,91,88,48,40,87,90,44,5,70,50,NORMAL
84,72,67,91,88,93,36,87,90,75,5,66,50,NORMAL
84,57,68,91,93,93,40,87,90,75,4,70,50,NORMAL
79,77,68,91,85,93,40,87,90,75,10,70,50,NORMAL
84,72,54,91,88,93,13,87,90,75,5,42,50,NORMAL
